t_sec,north,east,up
2.500178700000000021e+01,-5.956037521362304688e+01,3.263999176025390625e+01,1.319389343261718750e+01
2.510813299999999870e+01,-5.842035293579101562e+01,3.320288085937500000e+01,1.368074035644531250e+01
2.520486800000000116e+01,-5.744864273071289062e+01,3.382022857666015625e+01,1.412397766113281250e+01
2.530149600000000021e+01,-5.654874420166015625e+01,3.453704452514648438e+01,1.457066345214843750e+01
2.540814500000000109e+01,-5.562757873535156250e+01,3.539890289306640625e+01,1.504377746582031250e+01
2.550485199999999963e+01,-5.477699661254882812e+01,3.617298889160156250e+01,1.539895629882812500e+01
2.560133899999999940e+01,-5.392376327514648438e+01,3.693725204467773438e+01,1.569337463378906250e+01
2.569791700000000034e+01,-5.311799621582031250e+01,3.772459030151367188e+01,1.597308349609375000e+01
2.580415599999999898e+01,-5.232956695556640625e+01,3.864467239379882812e+01,1.629425048828125000e+01
2.590096399999999832e+01,-5.173176574707031250e+01,3.953923416137695312e+01,1.661453247070312500e+01
2.600724299999999900e+01,-5.118360900878906250e+01,4.056896972656250000e+01,1.697991943359375000e+01
2.610393699999999839e+01,-5.076543807983398438e+01,4.153333663940429688e+01,1.729852294921875000e+01
2.620067099999999982e+01,-5.042093276977539062e+01,4.252175140380859375e+01,1.760607910156250000e+01
2.630699699999999908e+01,-5.012912750244140625e+01,4.363569641113281250e+01,1.793528747558593750e+01
2.640380599999999944e+01,-4.995147323608398438e+01,4.467512893676757812e+01,1.822236633300781250e+01
2.650035600000000002e+01,-4.988475036621093750e+01,4.574887466430664062e+01,1.851055908203125000e+01
2.660710999999999871e+01,-4.993258285522460938e+01,4.695486068725585938e+01,1.882827758789062500e+01
2.670338399999999979e+01,-5.005542373657226562e+01,4.806811141967773438e+01,1.909509277343750000e+01
2.680028499999999880e+01,-5.022343444824218750e+01,4.919770431518554688e+01,1.931632995605468750e+01
2.690633700000000061e+01,-5.043623733520507812e+01,5.045668792724609375e+01,1.948779296875000000e+01
2.700301999999999936e+01,-5.065885162353515625e+01,5.161384963989257812e+01,1.958285522460937500e+01
2.709981300000000104e+01,-5.092700958251953125e+01,5.278281402587890625e+01,1.963615417480468750e+01
2.720620100000000008e+01,-5.130257034301757812e+01,5.407293319702148438e+01,1.966879272460937500e+01
2.730288499999999985e+01,-5.173545455932617188e+01,5.524444198608398438e+01,1.968591308593750000e+01
2.739943900000000099e+01,-5.226896286010742188e+01,5.640946578979492188e+01,1.969812011718750000e+01
2.750581999999999994e+01,-5.297629928588867188e+01,5.767474746704101562e+01,1.970225524902343750e+01
2.760247299999999981e+01,-5.372397613525390625e+01,5.880967712402343750e+01,1.968951416015625000e+01
2.769919799999999910e+01,-5.457681655883789062e+01,5.992113494873046875e+01,1.965899658203125000e+01
2.780571099999999873e+01,-5.563652038574218750e+01,6.109809494018554688e+01,1.960728454589843750e+01
2.790219400000000149e+01,-5.672274017333984375e+01,6.211242294311523438e+01,1.954985046386718750e+01
2.800868099999999927e+01,-5.806831741333007812e+01,6.313578033447265625e+01,1.947775268554687500e+01
